rank,id,asset_id,attributes/0/traitType,attributes/0/value,attributes/0/percentage,attributes/1/traitType,attributes/1/value,attributes/1/percentage,attributes/2/traitType,attributes/2/value,attributes/2/percentage,attributes/3/traitType,attributes/3/value,attributes/3/percentage,attributes/4/traitType,attributes/4/value,attributes/4/percentage,attributes/5/traitType,attributes/5/value,attributes/5/percentage,attributes/6/traitType,attributes/6/value,attributes/6/percentage,attributes/7/traitType,attributes/7/value,attributes/7/percentage,attributes/8/traitType,attributes/8/value,attributes/8/percentage,score,attributes/9/traitType,attributes/9/value,attributes/9/percentage
4367,1,290d0501702957583cdf5e235bc6911f,Attack,12,16.48,Barrel,Ironside - Blaster,1.76,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Scratched Black Paint,6.06,Defense,8,22.62,Energy Type,Helios,19.63,Grip,Recurved,4.07,Weapon Type,Blaster,7.04,134.65259754559787,,,
8219,2,d8d0c8cc6335f662e30f1707e851b111,Attack,12,16.48,Blade,The Butcher,2.76,Category,Bladed,50.00,Color Scheme,Scratched Black Paint,6.06,Defense,8,22.62,Energy Type,HyperLight - Focused,15.74,Handle,Encased,7.95,Pomel,Orical,7.42,Weapon Type,Knife,20.23,102.57446106341521,,,
5632,3,dca59439f5b98204b3249d2e78812ea4,Attack,9,14.61,Barrel,Warhawk - SMG,4.30,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Army Green,5.81,Defense,8,22.62,Energy Type,Helios,19.63,Grip,Recurved,4.07,Stock,Marksman,3.64,122.17004198478064,Weapon Type,SMG,15.81
592,4,0d685e60b0d80001983fe42a3abed876,Attack,12,16.48,Barrel,Ironside - Blaster,1.76,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Pearlescent,0.69,Defense,8,22.62,Energy Type,Helios,19.63,Grip,Sheared,6.10,Weapon Type,Blaster,7.04,254.90190166539168,,,
3249,5,78c5906613e2f373636a36af6d9a2b8e,Attack,10,28.78,Blade,Barbarian,1.98,Category,Bladed,50.00,Color Scheme,Scratched White Paint,5.66,Defense,12,4.18,Energy Type,Helios - Charged,10.13,Handle,Tusk,4.52,Pomel,Icosa,8.33,Weapon Type,Sword,16.20,147.7441787115987,,,
7576,6,47c48152ed607f7af498610ce79cf552,Attack,10,28.78,Barrel,Ironside - SMG,3.94,Cartridge,Reinforced,15.15,Category,Firearm,50.00,Color Scheme,Scratched Black Paint,6.06,Defense,10,22.66,Energy Type,Helios - Charged,10.13,Grip,Widow,7.87,Stock,Circut,5.08,106.95901739613532,Weapon Type,SMG,15.81
4249,7,b954f2b780d82b2405a07f1cbcaf28a3,Attack,9,14.61,Barrel,Warhawk - SMG,4.30,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Gold Plated,2.22,Defense,9,30.42,Energy Type,Helios - Charged,10.13,Grip,Carved,6.94,Stock,Fixed Hollow,5.03,135.89463793325626,Weapon Type,SMG,15.81
8985,8,75658ef9972571963ae3d1606be6a609,Attack,10,28.78,Blade,Straight Edge,3.31,Category,Bladed,50.00,Color Scheme,Striped,5.23,Defense,8,22.62,Energy Type,HyperLight - Focused,15.74,Handle,Ladder Grip,8.14,Pomel,Orical,7.42,Weapon Type,Sword,16.20,97.51562179914096,,,
897,9,965ef060320da7a2892cde95ffdb631c,Attack,12,16.48,Barrel,Eastwood,0.62,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Scratched White Paint,5.66,Defense,10,22.66,Energy Type,Helios - Charged,10.13,Grip,Carved,6.94,Weapon Type,Sidearm,16.94,226.59839324759272,,,
8353,10,e09099601057e3f475e63733cc770b3c,Attack,10,28.78,Blade,Falcon Wing,2.46,Category,Bladed,50.00,Color Scheme,Army Green,5.81,Defense,9,30.42,Energy Type,Helios,19.63,Handle,Encased,7.95,Pomel,Goldberg,9.00,Weapon Type,Sword,16.20,101.58086708000819,,,
1587,11,638b133f5c44123d251cba1761e448c6,Attack,12,16.48,Blade,Guillotine,1.58,Category,Bladed,50.00,Color Scheme,Sandstorm,5.70,Defense,10,22.66,Energy Type,AntiMatter,13.39,Handle,Encrusted,1.47,Pomel,Goldberg,9.00,Weapon Type,Axe,13.57,187.2918013686302,,,
6173,12,eaad883301987e910c604b78b6e14573,Attack,11,26.75,Blade,Vulture,3.15,Category,Bladed,50.00,Color Scheme,Tech Panels,5.19,Defense,10,22.66,Energy Type,Valorite,10.09,Handle,Bolstered,3.60,Pomel,Spiral,7.28,Weapon Type,Knife,20.23,117.53323292570913,,,
9033,13,20c6392706149ce589184fd5a32a1f05,Attack,9,14.61,Blade,Ripper,3.22,Category,Bladed,50.00,Color Scheme,Tech Panels,5.19,Defense,9,30.42,Energy Type,Helios,19.63,Handle,Conical,7.86,Pomel,Icosa,8.33,Weapon Type,Knife,20.23,97.22050677271923,,,
1498,14,130a1d76abfc87737cd01ae5b1ee9647,Attack,12,16.48,Barrel,Brute - SMG,3.74,Cartridge,Reactor,5.05,Category,Firearm,50.00,Color Scheme,Scratched White Paint,5.66,Defense,12,4.18,Energy Type,Valorite,10.09,Grip,Hollow Glow,8.05,Stock,Torus,1.50,191.52413915612732,Weapon Type,SMG,15.81
